,Song Name,BPM List
0,001_0_Chained_to_the_Rhythm_-_Katy_Perry,94.99
1,002_1_Zomboy_-_Endgame,200.0
2,003_2_Falling_-_Dropgun_x_Asketa,126.0
3,004_3_Namae_no_Nai_Kaibutsu_227,90.01
4,005_4_Hide_and_Seek_–_Amber_Run,132.67
5,006_5_Cruel_Angels_Thesis_-_Fujima_Sakura,127.99
6,007_6_Kimi_no_Shiranai_Monogatari,166.19
7,008_7_Beat_it_-_Michael_Jackson_-Mutrix_Remix-,70.05
8,009_8_Alan_Walker_-_Spectre,127.99
9,010_9_Fox_Stevenson_-_Bruises,172.16
10,011_10_Sonic_Generations_-_City_Escape,129.94
11,012_11_James_Landino_-_Reaction_ft_Slyleaf-,134.63
12,013_12_Fox_Stevenson_-_Comeback,223.61
13,014_13_Elvenking_-_The_Horden_Ghost_and_the_Sorcerer,198.08
14,015_14_TXT_-_Run_Away_-Japanese_ver-,129.59
15,016_15_Obenkyou_Shitoiteyo,131.43
16,017_16_Asking_Alexandria_-_The_Violence,64.99
17,018_17_Heatseeker_-_Reaper,173.97
18,019_18_Camellia_–_1f1e33,182.81
19,020_19_Fighting_Gold_-_Jojo_Golden_Wind,215.22
20,021_21_Platinum_Disco_-Short_Ver-_[Nisemonogatari_Opening_3],116.99
21,022_22_[Bloq_Busters_Vol_4]_Guns_n’_Roses_–_Sweet_Child_O’_Mine,129.18
22,023_23_YOASOBI_–_Yoru_ni_Kakeru,161.45
23,024_24_The_Prodigy_–_The_Day_is_my_Enemy,116.95
24,025_25_[[Wall_Show+Chroma]]_Cups_-When_I’m_Gone-__Pitch_Perfect,130.01
25,026_26_Mogli_–_WinterSun_-Neelix_Remix-,140.0
26,027_27_Snoop_Dogg_and_Wiz_Khalifa_–_Young_Wild_and_Free_-ft_Bruno_Mars-_[Z-ANESaber],94.03
27,028_28_Moe_Shop_x_Hentaidude__Superstar_-Chroma_RGB-,127.93
28,029_29_Reol_–_Utena,160.01
29,030_30_[Bloq_Busters_Vol_4]_Eric_Johnson_–_Cliffs_of_Dover,160.0169
30,031_31_Ridin’_–_Fise,230.0
31,032_32_Love_With_You_-TV_Size-_[Kishuku_Gakkou_no_Juliet_Opening]_–_fripSide,171.12
32,033_33_UAD_–_HAYAKO,171.99
33,034_34_Throwing_a_Flashbang,184.33
34,035_35_Realize_–_Suzuki_Konomi_-zero_kara_hajimeru_isekai_seikatsu_saison_2_op-TV_size,212.46
35,036_36_The_surrounding_people_around_-주변인-_–_Outsider,128.51
36,037_37_Elle_King_–_Ex’s_And_Oh’s,155.35
37,038_38_Uragirimono_no_Requiem_-TV_Size-_[JoJo’s_Bizarre_Adventure_Golden_Wind_2nd_Opening]_–_Daisuke_Hasegawa,155.3569
38,039_39_JoJo’s_Bizarre_Adventure_Opening_Compilation,132.92
39,040_40_[TD4L]_Teen_Titans_Theme_Song_[Z-ANESaber],132.9269
40,041_42_[[Wall_Show_+_Chroma]]_GAS_GAS_GAS__Manuel,149.07
41,042_43_Diana_Ross_–_I’m_Coming_Out,105.89
42,043_44_Like_A_Riddle_–_Felix_Jaehn_-feat_Hearts_and_Colors_Adam_Trigger-,221.4
43,044_45_Mogli_–_WinterSun_-Neelix_Remix-,140.0
44,045_46_Semi_Transparent_Boy_–_Yorushika__準透明少年_–_ヨルシカ,197.53
45,046_47_MAHO_Dou_–_Ojamajo_Carnival!!おジャ魔女カーニバル!!_Covered_by_Tokino_Sora_×_Tenjin_Kotone,142.46
46,047_48_Kienai_Kioku,70.08
47,048_49_Blues_Traveler_–_Hook,83.96
48,049_50_Perfectarea_complete,182.92
49,050_51_Flyers_[Death_Parade_Opening]_–_AmaLee,141.43
50,051_52_[V2]_Im_Scatman_feat_Shirakami_Fubuki_–_Hamburgaga,141.4369
51,052_53_Ridin’_–_Fise,230.0
52,053_54_Reol_–_Bon-no-yu-gi,100.0
53,054_55_For_me,125.85
54,055_56_Dance!_–_Persona_4_Dancing_All_Night,134.61
55,056_57_JoJo’s_Bizarre_Adventure_Opening_Compilation,132.91
56,057_58_Best_Part_–_The_Score,106.69
57,058_59_Blue_Stahli_–_Awaken,107.0
58,059_60_Primary__GLORIOUS_DAYS__Chroma_RGB,83.42
59,060_61_Uragirimono_no_Requiem_-TV_Size-_[JoJo’s_Bizarre_Adventure_Golden_Wind_2nd_Opening]_–_Daisuke_Hasegawa,167.61
60,061_62_Tom_Petty_The_Heartbreakers_–_Don’t_Do_Me_Like_That,117.2
61,062_63_Bonk_Bonk_Bonk_Bonk,231.45
62,063_65_[[Wall_Show_+_Chroma]]_GAS_GAS_GAS__Manuel,77.06
63,064_66_No_Rain_–_Blind_Melon,75.03
64,065_67_Powerwolf_–_Venom_of_Venus,158.36
65,066_68_Hare_Hare_Yukai_-Short_Ver-_[The_Melancholy_of_Haruhi_Suzumiya_Ending],171.99
66,067_69_Falling_–_Dropgun_x_Asketa_and_Natan_Chaim,63.0
67,068_70_Bryan_Adams_–_Summer_of_69,142.88
68,069_71_Reol_–_Bon-no-yu-gi,100.0
69,070_72_Sakuranbo_–_Otsuka_Ai,85.22
70,071_73_PSYQUI_feat_Such_–_Eyes_On_Me,168.0
71,072_74_Minami_-「_Amewomatsu、」美波「アメヲマツ、」,158.63
